Ingrediente,Descripción SAP,Código DIA,ID WOE,Cruce SAP,Cruce Formato
Pan de Queso,Pan de Queso,12611,,review,ok
74136 C8B LECHE COCONUT 1.89LT,74136 C8B LECHE COCONUT 1.89LT,16942,155868,ok,review
ZZZEnglish Breakfast C/100,57367 C100P TE ROYAL ENGLISH BREAKF TEAV,10910,150066,ok,review
ZZZEmperors Clouds & M C/100,ZZZEmperors Clouds & M C/100,10909,,review,review
ZZZTe Youhberry C/100,57385 C100P TE YOUTHBERRY FLFB BTB HOT,10913,150067,ok,review
ZZZTe Chai C/100,57386 C100P TE CHAI TEAVANA FLFB BTB HOT,10906,150065,ok,review
012924 Cafe 250g 12/cs Xmas Rese,012924 Cafe 250g 12/cs Xmas Rese,12924,,review,ok
Jamon Serrano TM 100grs,Jamon Serrano TM 100grs,12486,,review,ok
RB Cerezas Melrose Lata 3.2Kg,RB Cerezas Melrose Lata 3.2Kg,,,review,ok
ZZZMini Cronuts,BIS EUROS SURTIDO MINI CRONUT CJ60PZAS,15103,149529,ok,review
ZZZCafe Microblend no11 5 Lb2,ZZZCafe Microblend no11 5 Lb2,,,review,review
Chocolate Bitters Bot 125ml2,Chocolate Bitters Bot 125ml2,52266,,review,review
RB Helado de Vainilla 3gal,RB Helado de Vainilla 3gal,52269,,review,ok
Tapa 12 oz Hot Traveler,TAPA 12OZ HOT/TRAV TL31R CJ1000PZAS,743,149217,ok,review
ZZZJarabe de Vainilla Bean,62500 1B JARABE VAINA VAINILLA RB 1LT,11793,149334,ok,review
Topping Nuez Moscada Molida,NUEZ MOSCADA MOLIDA BTE60GRS,4271,150192,ok,review
RB Tanqueray Dry,RB Tanqueray Dry,,,review,ok
RB Ketel One,RB Ketel One,,,review,ok
RB Zacapa 23,RB Zacapa 23,,,review,ok
RB Agua Tonica,RB Agua Tonica,,,review,ok
RB Bailys Original,RB Bailys Original,,,review,ok
Minerva Lager L,Minerva Lager L,,,review,ok
Minerva Stout,Minerva Stout,,,review,ok
Topping Red Velvet,28419 1B XM TOPPING RED VELVET 2.5OZ,13906,149448,ok,review
R Indonesia W Java,R Indonesia W Java,14354,,review,review
Croissant Mantequilla,Croissant Mantequilla,10403,,review,ok
ZZZGalletaRedVelvet,GALLETA RED VELVET CJ14PZAS95GR,14659,149486,ok,review
ZZZGalleta Decorada,GALLETA CORE BEARISTA CJ15PZAS,14613,150086,ok,review
Cong Panini 3 Quesos,Cong Panini 3 Quesos,14720,,review,ok
ZZZJarabe Vainilla Toasted 1 Lt,33529 1P JARABE VAINILLA TOASTED 1LT,14850,150090,ok,review
Cong Piadini de Claras Espinacas,Cong Piadini de Claras Espinacas,14717,,review,ok
Cong Envuelto Poblano,Cong Envuelto Poblano,14718,,review,ok
Cong Grilled Cheese Sandwich,Cong Grilled Cheese Sandwich,14719,,review,ok
RB Vermouth Antica 1 Lt,RB Vermouth Antica 1 Lt,,,review,ok
RB Whis Suntory Toki 750Ml,RB Whis Suntory Toki 750Ml,,,review,ok
