Ingrediente,Descripción SAP,Código DIA,#SAP,Primera semana,Última semana,Aviso,Cruce SAP,Cruce Formato
Agitador de Madera,AGITADOR DE MADERA PARA CJ/1000 PZAS SBX,7676,149274,1,35,Reporta hasta Sem 35,ok,ok
Filtro p/cafetera  14x6,FILTRO PARA CAFETERA 14x6 100369 SBX,768,155919,1,30,Dejó de descontarse desde Sem 31,ok,ok
SVETIA CJ/2000 PZAS SBX,SVETIA CJ2000PZAS,7461,149272,1,35,Reporta hasta Sem 35,ok,ok
Azucar Mascabado Starbucks,AZUCAR MASCABADO C/ LOGO CJ 2000 SOBRES/,7460,149271,1,35,Reporta hasta Sem 35,ok,ok
Tapa 16/20 oz Hot Delivery,TAPA PLANA DELIVERY BEBIDA CALIENTE 16/2,11879,149352,1,30,Dejó de descontarse desde Sem 31,ok,ok
Tapa Nitro para vasos 12/20 Oz,TAPA NITRO 14/22OZ CJ1000PZAS,12263,149368,1,30,Dejó de descontarse desde Sem 31,ok,ok
Tapa Nitro para vasos 16 Oz,TAPA NITRO 16OZ CJ1000PZAS,12264,149369,1,30,Dejó de descontarse desde Sem 31,ok,ok
Popote Verde Estuchado Compostab,POPOTE VDE ESTUCHADO COMP MHC CJ2000PZAS,15451,149566,1,35,Reporta hasta Sem 35,ok,ok
Tapa 8 oz Hot Traveler,TAPA 8OZ HOT TRAVELLER CJ1000PZAS,865,149225,1,30,Dejó de descontarse desde Sem 31,ok,ok
Tapa 16/20 oz Hot Traveler,1APA 16/20OZ HOT/TRAV T316R CJ1000PZAS,1264,149232,1,30,Dejó de descontarse desde Sem 31,ok,ok
Tapa Domo 12/20 oz,TAPA DOMO 12/20OZ CJ1000PZAS,760,149218,1,35,Reporta hasta Sem 35,ok,ok
Tapa Domo 16 oz,TAPA DOMO 16OZ DL 626 CJ1000PZAS,761,149219,1,30,Dejó de descontarse desde Sem 31,ok,ok
Tapa Plana 12/20 oz,TAPA PLANA 12/22OZ 662TS CJ1000PZAS,762,149220,1,30,Dejó de descontarse desde Sem 31,ok,ok
Tapa Plana 16 oz,TAPA PLANA PLASTICO 16 OZ 626TS CJ/1000,764,149221,1,30,Dejó de descontarse desde Sem 31,ok,ok
Vaso de Papel 4 oz,VASO 4OZ PAPEL N/IMG CJ1000PZAS,4734,149263,1,30,Dejó de descontarse desde Sem 31,ok,ok
Vaso de Plastico 12 oz,VASO 12OZ PLASTICO N/IMG CJ1000PZAS,2465,149255,1,30,Dejó de descontarse desde Sem 31,ok,ok
Vaso de Plastico 16 oz,VASO 16OZ PLASTICO N/IMG  CJ1000PZAS,2466,149256,1,30,Dejó de descontarse desde Sem 31,ok,ok
Vaso de Plastico 20 oz,VASO 22OZ PLASTICO CJ1000PZAS,5983,149269,1,30,Dejó de descontarse desde Sem 31,ok,ok
Vaso de Papel 8 oz,VASO 8OZ PAPEL N/IMG CJ1000PZAS,4735,149264,1,35,Reporta hasta Sem 35,ok,ok
Vaso de Papel 12 oz,VASO 12OZ PAPEL N/IMG CJ1000PZAS,873,149227,1,30,Dejó de descontarse desde Sem 31,ok,ok
Vaso de Papel 16 oz,VASO 16OZ PAPEL N/IMG CJ1000PZAS,885,149228,1,30,Dejó de descontarse desde Sem 31,ok,ok
Vaso de Papel 20 oz,VASO 20OZ PAPEL N/IMG CJ600PZAS,785,149222,1,30,Dejó de descontarse desde Sem 31,ok,ok
Fajilla de Carton,FAJILLA CARTON 12/16OZ CJ1500PZA,2394,149254,1,35,Reporta hasta Sem 35,ok,ok
012854 Food Traveler,CJA P/PANQUE Y DONAS PAQ20PZAS,12854,149403,1,29,Dejó de descontarse desde Sem 30,ok,ok
Bolsa con Asa Chica,BLS CH C/ASA CJ250PZAS,814,149223,1,35,Reporta hasta Sem 35,ok,ok
Bolsa Individual Pastry,BLS TO GO INDIVIDUAL PASTRY CJ2000PZAS,7816,149276,1,35,Reporta hasta Sem 35,ok,ok
Charola Porta Vasos,CHAROLA PORTA VASO CJ/300 PZA SBX,1254,149231,1,35,Reporta hasta Sem 35,ok,ok
013481 CONTENEDOR ALMEJA 6ECO,CONTENEDOR ALMEJA 6 PULG ECOFRIENDLY COM,13481,149417,1,29,Dejó de descontarse desde Sem 30,ok,ok
Bolsa Pastry Panini,BLS PANINI INDIVIDUAL PASTRY CJ2000PZAS,13580,149430,1,35,Reporta hasta Sem 35,ok,ok
Coffee Traveler 960z,COFFEE TRAVELER CJ30PZAS96OZ,13408,149413,1,29,Dejó de descontarse desde Sem 30,ok,ok
TAPA DOMO 16OZ ECOCOMP NAL,TAPA DOMO 16OZ ECOF COMPOST CJ1000PZAS,13523,149419,1,29,Dejó de descontarse desde Sem 30,ok,ok
TAPA DOMO 12-22 OZ ECOCOMP NAL,TAPA DOMO 12/22OZ ECOF COMPOST CJ1000PZA,13524,149420,1,29,Dejó de descontarse desde Sem 30,ok,ok
TAPA NITRO VASO16OZ ECOCOMP NAL,TAPA NITRO 16OZ ECOF COMPOST CJ1000PZAS,13525,149421,1,29,Dejó de descontarse desde Sem 30,ok,ok
TAPA NITRO VASO12-22OZ ECOCOMPNA,TAPA NITRO 12/22OZ ECOF COMP CJ1000PZAS,13526,149422,1,29,Dejó de descontarse desde Sem 30,ok,ok
TAPA PLANA VASO16 OZ ECOCOMP NAL,TAPA PLANA 16OZ ECOF COMPOST CJ1000PZAS,13527,149423,1,29,Dejó de descontarse desde Sem 30,ok,ok
TAPA PLANA VASO12-22OZECOCOMPNAL,TAPA PLANA PARA VASO DE  12-22 OZ ECOFRI,13528,149424,1,29,Dejó de descontarse desde Sem 30,ok,ok
VASO 12OZ BEBIDA FRIA ECOCOMPNAL,VASO 12OZ BEBF ECOF COMPOS CJ1000PZAS,13529,149425,1,29,Dejó de descontarse desde Sem 30,ok,ok
VASO 16OZ BEBIDA FRIA ECOCOMPNAL,VASO 16OZ BEBF ECOF COMPOS CJ1000PZAS,13530,149426,1,29,Dejó de descontarse desde Sem 30,ok,ok
VASO 22OZ BEBIDA FRIA ECOCOMPNAL,VASO 22OZ BEBF ECOF COMPOS CJ1000PZAS,13531,149427,1,29,Dejó de descontarse desde Sem 30,ok,ok
Canela molida cj/1kg,CANELA MOLIDA CJ/1 KG SBX,204711,150170,1,35,Reporta hasta Sem 35,ok,ok
Cargadores de N2O para Sifon,CAPSULAS OXIDO NITROSO CJ25PAQ24PZAS,11484,149324,1,30,Dejó de descontarse desde Sem 31,ok,ok
Vaso Compostable Caliente 8 oz,VASO 8OZ BEBC COMP CJ1000PZAS,13894,149442,1,35,Reporta hasta Sem 35,ok,ok
Vaso Compostable Caliente 12 oz,VASO 12OZ BEBC COMP CJ1000PZAS,13895,149443,1,29,Dejó de descontarse desde Sem 30,ok,ok
Vaso Compostable Caliente 16 oz,VASO 16OZ BEBC COMP CJ1000PZAS,13896,149444,1,29,Dejó de descontarse desde Sem 30,ok,ok
Vaso Compostable Caliente 20 oz,VASO 20OZ BEBC COMP CJ1000PZAS,13897,149445,1,29,Dejó de descontarse desde Sem 30,ok,ok
Tapa Compostable Caliente 8 oz,TAPA 8OZ BEBC COMPOST CJ1000PZAS,13900,149447,1,35,Reporta hasta Sem 35,ok,ok
Tapa 16/20 Caliente Delivery ECO,TAPA CIEGA VASO PAPEL 16 / 20 OZ ECOFRIE,205923,150171,1,29,Dejó de descontarse desde Sem 30,ok,ok
Vaso Compostable Caliente 4oz,VASO 4OZ BEBC COMP CJ1000PZAS,13912,149449,9,16,Dejó de descontarse desde Sem 17,ok,ok
Tapa CompostaCaliente12/16/20 oz,TAPA 12/16/20OZ BEBC CJ/1000PZAS,13899,149446,1,29,Dejó de descontarse desde Sem 30,ok,ok
fajilla carton 12/16/20 reser,49643 C1380P FAJILLA CTN 12/16/20OZ RB,10723,149304,1,29,Dejó de descontarse desde Sem 30,ok,ok
PORTAVASOS 2 CAVIDADES CJ/600 PZ,PORTAVASOS 2 CAVIDADES CJ600PZAS,14573,149483,1,35,Reporta hasta Sem 35,ok,ok
Azucar Refinada Starbucks,AZUCAR REFINADA CJ/1000 PZAS SBX,11292,149316,1,35,Reporta hasta Sem 35,ok,ok
Tapa Plana Delivery Cal 12 OZ,TAPA PLANA 12OZ DELIV BEBC CJ1000PZAS,15992,149750,1,28,Dejó de descontarse desde Sem 29,ok,ok
Contenedor Almeja 6 Pulg De Plas,CONTENEDOR ALMEJA 6IN PLASTICO CJ250PZAS,15897,150452,1,29,Dejó de descontarse desde Sem 30,ok,ok
Popote Perlas Generico Recetas,57102 C500P POPOTE PAPEL PEARLS STRAW,16119,149818,1,30,Dejó de descontarse desde Sem 31,ok,ok
Servilleta Logo 2025,SERVILLETA IMPRESA CJ/6000 PZA SBX,753,155918,1,35,Reporta hasta Sem 35,ok,ok
BOLSA GALLETA,BLS PAPEL P/GALLETA SBX CJ2000PZAS,16699,152628,2,30,Dejó de descontarse desde Sem 31,ok,ok
Tenedor Desechable Envuelto,TENEDOR DESECHABLE NEGRO CJ1000PZAS,1948,149247,1,29,Dejó de descontarse desde Sem 30,ok,ok
Cuchillo Desechable Envuelto,CUCHILLO NGRO DESECHABLE CJ1000PZA,1949,149248,11,29,Dejó de descontarse desde Sem 30,ok,ok
Azucar Dieta Splenda,SPLENDA ENDULZANTE (AMARILLO) CJ/2000PZA,1380,149238,1,35,Reporta hasta Sem 35,ok,ok
